Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Labor force, total,SL.TLF.TOTL.IN,Bulgaria,BGR,3437093,3508326,3419146,3349557,3392066,3333191,3439496,3513312,3576886,3501419,3416246,3332676,3342114,3367629,3360446,3333925,3264392,3357463,3327434,3377388,3236488
Labor force, total,SL.TLF.TOTL.IN,Burkina Faso,BFA,4801025,4895789,4996386,5101630,5211766,5324918,5428597,5543647,5662495,5782783,5904585,6015190,6129355,6243973,6356666,6568637,6784066,7005191,7234205,7472710,7602386
Labor force, total,SL.TLF.TOTL.IN,Burundi,BDI,2661257,2734430,2821958,2921260,3028765,3141183,3253718,3373497,3497913,3623441,3748510,3860077,3972691,4085939,4201488,4350047,4503070,4660955,4822373,4987392,5134437
Labor force, total,SL.TLF.TOTL.IN,Cabo Verde,CPV,144165,148537,152778,157036,161553,166408,172045,177941,183995,189858,195407,200936,206239,211243,215939,220359,224651,228840,233493,237727,228160
Labor force, total,SL.TLF.TOTL.IN,Cambodia,KHM,5594590,6182972,6353563,6474780,6547310,6765452,6996534,7223833,7457314,7689325,8133020,8375988,8326168,8238537,8401086,8528093,8909179,9049870,9185185,9319219,9163338
Labor force, total,SL.TLF.TOTL.IN,Cameroon,CMR,7014332,7213220,7419591,7633627,7856899,8092421,8325462,8570760,8633267,8677070,8703898,8963938,9232295,9509728,9797048,10091532,10391573,10703273,11023211,11351498,11484246
Labor force, total,SL.TLF.TOTL.IN,Canada,CAN,16190364,16458479,16943201,17343484,17552499,17697127,17912331,18276042,18576393,18712291,18918726,19061289,19250224,19475966,19560731,19678725,19888519,20166001,20349923,20743970,20407102
Labor force, total,SL.TLF.TOTL.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Central African Republic,CAF,1497551,1527454,1558086,1590916,1622307,1655141,1684060,1713565,1741896,1765289,1784398,1789001,1787281,1792311,1791294,1794828,1815145,1841910,1874454,1910935,1922808
Labor force, total,SL.TLF.TOTL.IN,Chad,TCD,3092951,3200999,3319318,3441705,3562214,3690233,3820060,3951663,4088910,4232117,4378883,4535058,4695491,4865399,5039537,5221720,5408189,5597044,5789121,5986313,5983551
Labor force, total,SL.TLF.TOTL.IN,Channel Islands,CHI,72872,74110,75337,76046,76290,76549,76803,77250,78672,80080,80754,80488,80936,81370,81907,82667,83373,84217,85070,85880,85529
Labor force, total,SL.TLF.TOTL.IN,Chile,CHL,6283605,6316344,6385547,6571340,6782120,6980733,7198953,7410920,7730995,7845879,8032734,8315947,8423909,8556190,8714048,8861044,9000801,9208791,9391885,9514562,8859868
Labor force, total,SL.TLF.TOTL.IN,China,CHN,734745358,738908768,745095895,752357588,758741124,763719701,768097193,771363489,773625815,774904774,775372828,778344032,781065415,783402608,785158479,786338838,786996416,787183184,785986127,783981163,771255814
Labor force, total,SL.TLF.TOTL.IN,Colombia,COL,18122165,18562289,18959990,19518086,19513046,19705002,19817286,19931023,20484029,21750089,22438334,23074243,23782561,24040659,24476295,25054594,25430737,25865153,26235986,26413531,24802308
Labor force, total,SL.TLF.TOTL.IN,Comoros,COM,127464,131152,135019,139052,143245,148405,153634,159137,164923,170968,177284,183681,190311,197199,204264,210571,216517,222594,228821,235263,234737
"Labor force, total,SL.TLF.TOTL.IN,""Congo, Dem. Rep."",COD,18365475,18870817,19416059,19998578,20615035,21267594,21595160,21946023,22311503,22679412,23054965,23377698,23708506,24480526,25282845,26129042,26995845,27896291,28829039,29801894,29798149"
"Labor force, total,SL.TLF.TOTL.IN,""Congo, Rep."",COG,1233183,1272465,1312814,1356525,1402208,1450437,1503621,1562596,1621513,1679730,1735836,1783089,1827735,1871328,1913965,1960414,2013012,2068040,2124150,2182727,2149740"
Labor force, total,SL.TLF.TOTL.IN,Costa Rica,CRI,1623242,1731137,1767946,1816458,1829125,1942025,1977700,2049811,2083034,2106451,2107940,2123460,2294366,2316936,2343181,2338013,2273163,2336894,2445740,2568230,2444805
Labor force, total,SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,6044605,6115838,6181555,6243370,6307018,6375398,6453206,6539481,6634611,6735766,6842722,6958692,7080483,7207321,7341139,7480187,7616765,7603546,7822369,8047575,8148055
Labor force, total,SL.TLF.TOTL.IN,Croatia,HRV,1981995,1898934,1872650,1884546,1935313,1935922,1921755,1936709,1941209,1937468,1913390,1875738,1855060,1834112,1885233,1887425,1828470,1821332,1794835,1788035,1773452
Labor force, total,SL.TLF.TOTL.IN,Cuba,CUB,4507288,4537660,4581101,4633927,4682833,4776191,4850507,4950118,4997790,5104995,5077913,5087844,5095721,5102955,5108174,5113579,5107450,5105339,5103446,5092603,4790069
Labor force, total,SL.TLF.TOTL.IN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Cyprus,CYP,445199,465309,475450,494581,509224,518123,531572,546791,557574,570823,585702,585574,589090,593733,604632,604273,603101,611103,625732,636734,639143
Labor force, total,SL.TLF.TOTL.IN,Czech Republic,CZE,5153680,5132081,5134022,5128047,5125017,5180625,5186263,5186065,5205457,5249468,5241405,5233081,5269982,5323133,5324486,5337247,5388300,5419903,5452943,5441332,5372687
Labor force, total,SL.TLF.TOTL.IN,Denmark,DNK,2863243,2854693,2890686,2870525,2898501,2900793,2931398,2930831,2922413,2910409,2890450,2886698,2871547,2850268,2863193,2888656,2933273,2960274,2982472,3023904,3025542
Labor force, total,SL.TLF.TOTL.IN,Djibouti,DJI,263320,269826,276100,282217,288447,295023,304045,313621,323635,334181,344548,352424,360337,368180,375937,383864,391157,399069,406885,414573,412802
Labor force, total,SL.TLF.TOTL.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Labor force, total,SL.TLF.TOTL.IN,Dominican Republic,DOM,3282360,3286982,3384929,3388368,3452459,3509451,3656410,3705722,3803885,3733574,3907280,4089232,4215758,4307344,4399403,4663527,4763946,4838903,5029437,5199104,4859386
Labor force, total,SL.TLF.TOTL.IN,Ecuador,ECU,5568321,5667598,5767431,5867129,6213934,6302130,6573775,6583447,6747269,6705194,6740237,6803755,7012139,7088863,7213267,7645865,8042980,8305504,8364868,8519412,8019060
"Labor force, total,SL.TLF.TOTL.IN,""Egypt, Arab Rep."",EGY,20044646,20381472,20753253,21603078,22456962,23292690,24087577,25205776,25686127,26585414,27411900,27825942,28583736,29411205,29972664,29541107,29893554,29628638,29275345,29776956,29077030"
Labor force, total,SL.TLF.TOTL.IN,El Salvador,SLV,2291668,2298090,2302609,2384405,2359487,2404448,2457636,2511381,2539621,2568058,2533393,2562008,2628802,2684335,2666332,2665791,2729501,2743375,2757136,2790599,2496192
Labor force, total,SL.TLF.TOTL.IN,Equatorial Guinea,GNQ,212734,222272,233065,245244,258737,273508,287291,302777,319982,338711,358577,375146,393137,412680,433716,455685,471728,489282,508610,529669,539296
Labor force, total,SL.TLF.TOTL.IN,Eritrea,ERI,980454,1036398,1101415,1172275,1242801,1308805,1355746,1396560,1433229,1462275,1487331,1500953,1511425,1521071,1522611,1532016,1551735,1571981,1589288,1612622,1545746
Labor force, total,SL.TLF.TOTL.IN,Estonia,EST,679299,669081,654709,677787,678243,673799,693457,692000,697853,690538,683977,687756,684569,680794,675991,686206,695233,703706,705794,703864,695674
